phase,users_per_shard,edges_per_shard,user_imbalance_percent,edge_imbalance_percent,users_moved,edges_moved
before,"[5000, 2500, 1500, 1000]","[40000, 20000, 12000, 8000]",100.00,100.00,0,0
after,"[2625, 2500, 2438, 2437]","[21000, 20000, 19504, 19496]",5.00,5.00,2375,19000
